Day,Date,Month,Year,Time,Lane-1,Lane-2,Lane-3,Lane-4,TotalCars,TotalTime
Saturday,1,July,2020,00:00,8,1,6,7,22,85
Saturday,1,July,2020,01:00,1,1,3,8,13,47
Saturday,1,July,2020,02:00,8,5,4,5,22,61
Saturday,1,July,2020,03:00,7,2,1,5,15,58
Saturday,1,July,2020,04:00,7,0,4,4,15,57
Saturday,1,July,2020,05:00,5,6,7,0,18,67
Saturday,1,July,2020,06:00,6,7,1,1,15,56
Saturday,1,July,2020,07:00,0,1,2,3,6,17
Saturday,1,July,2020,08:00,18,26,34,24,102,202
Saturday,1,July,2020,09:00,28,16,14,21,79,315
Saturday,1,July,2020,10:00,19,35,22,20,96,188
Saturday,1,July,2020,11:00,26,15,26,19,86,253
Saturday,1,July,2020,12:00,16,35,22,17,90,356
Saturday,1,July,2020,13:00,32,12,19,16,79,232
Saturday,1,July,2020,14:00,18,21,13,25,77,304
Saturday,1,July,2020,15:00,28,32,21,23,104,204
Saturday,1,July,2020,16:00,34,30,15,21,100,198
Saturday,1,July,2020,17:00,25,16,36,25,102,201
Saturday,1,July,2020,18:00,19,17,38,17,91,270
Saturday,1,July,2020,19:00,21,27,29,25,102,404
Saturday,1,July,2020,20:00,33,28,18,16,95,282
Saturday,1,July,2020,21:00,25,14,35,17,91,360
Saturday,1,July,2020,22:00,17,31,20,17,85,253
Saturday,1,July,2020,23:00,18,17,12,21,68,269
Sunday,2,July,2020,00:00,3,5,5,4,17,64
Sunday,2,July,2020,01:00,2,1,0,0,3,7
Sunday,2,July,2020,02:00,7,6,6,6,25,47
Sunday,2,July,2020,03:00,6,5,7,1,19,35
Sunday,2,July,2020,04:00,2,3,8,4,17,46
Sunday,2,July,2020,05:00,3,6,5,7,21,62
Sunday,2,July,2020,06:00,6,1,2,3,12,43
Sunday,2,July,2020,07:00,5,3,0,7,15,57
Sunday,2,July,2020,08:00,30,20,15,16,81,160
Sunday,2,July,2020,09:00,25,34,37,20,116,343
Sunday,2,July,2020,10:00,22,33,35,18,108,429
Sunday,2,July,2020,11:00,17,32,14,21,84,334
Sunday,2,July,2020,12:00,34,14,36,18,102,301
Sunday,2,July,2020,13:00,28,14,13,19,74,145
Sunday,2,July,2020,14:00,31,12,38,20,101,299
Sunday,2,July,2020,15:00,25,25,19,17,86,254
Sunday,2,July,2020,16:00,15,12,14,22,63,122
Sunday,2,July,2020,17:00,18,24,34,25,101,200
Sunday,2,July,2020,18:00,24,28,37,16,105,418
Sunday,2,July,2020,19:00,30,35,39,22,126,499
Sunday,2,July,2020,20:00,15,33,15,16,79,233
Sunday,2,July,2020,21:00,34,29,40,19,122,483
Sunday,2,July,2020,22:00,30,22,29,24,105,209
Sunday,2,July,2020,23:00,35,26,33,18,112,445
Monday,3,July,2020,00:00,4,5,1,0,10,19
Monday,3,July,2020,01:00,5,4,4,0,13,47
Monday,3,July,2020,02:00,6,6,8,6,26,74
Monday,3,July,2020,03:00,1,0,5,1,7,13
Monday,3,July,2020,04:00,3,6,5,7,21,39
Monday,3,July,2020,05:00,2,3,5,5,15,57
Monday,3,July,2020,06:00,6,1,4,5,16,27
Monday,3,July,2020,07:00,3,6,5,7,21,81
Monday,3,July,2020,08:00,26,18,24,24,92,272
Monday,3,July,2020,09:00,32,15,21,17,85,168
Monday,3,July,2020,10:00,35,20,35,18,108,212
Monday,3,July,2020,11:00,21,21,20,23,85,167
Monday,3,July,2020,12:00,16,28,25,21,90,356
Monday,3,July,2020,13:00,21,18,33,23,95,283
Monday,3,July,2020,14:00,25,26,26,19,96,287
Monday,3,July,2020,15:00,27,31,31,19,108,215
Monday,3,July,2020,16:00,29,10,18,18,75,296
Monday,3,July,2020,17:00,22,21,24,18,85,168
Monday,3,July,2020,18:00,22,15,28,17,82,162
Monday,3,July,2020,19:00,27,26,25,18,96,190
Monday,3,July,2020,20:00,25,24,24,21,94,186
Monday,3,July,2020,21:00,25,17,15,16,73,218
Monday,3,July,2020,22:00,15,27,22,16,80,238
Monday,3,July,2020,23:00,17,20,37,17,91,269
Tuesday,4,July,2020,00:00,2,6,0,0,8,22
Tuesday,4,July,2020,01:00,5,8,2,0,15,41
Tuesday,4,July,2020,02:00,7,4,5,5,21,58
Tuesday,4,July,2020,03:00,6,7,0,3,16,43
Tuesday,4,July,2020,04:00,2,8,4,7,21,79
Tuesday,4,July,2020,05:00,6,7,7,2,22,61
Tuesday,4,July,2020,06:00,0,5,4,6,15,41
Tuesday,4,July,2020,07:00,7,5,5,4,21,80
Tuesday,4,July,2020,08:00,19,22,10,22,73,143
Tuesday,4,July,2020,09:00,18,23,25,18,84,166
Tuesday,4,July,2020,10:00,32,10,12,18,72,214
Tuesday,4,July,2020,11:00,33,14,36,20,103,408
Tuesday,4,July,2020,12:00,32,14,18,19,83,164
Tuesday,4,July,2020,13:00,16,23,18,24,81,239
Tuesday,4,July,2020,14:00,21,32,10,20,83,329
Tuesday,4,July,2020,15:00,30,24,23,25,102,203
Tuesday,4,July,2020,16:00,34,30,23,19,106,422
Tuesday,4,July,2020,17:00,28,28,26,25,107,424
Tuesday,4,July,2020,18:00,23,19,10,21,73,288
Tuesday,4,July,2020,19:00,26,29,31,24,110,328
Tuesday,4,July,2020,20:00,25,29,36,24,114,225
Tuesday,4,July,2020,21:00,34,29,26,20,109,217
Tuesday,4,July,2020,22:00,15,28,22,22,87,170
Tuesday,4,July,2020,23:00,27,20,18,20,85,336
Wednesday,5,July,2020,00:00,7,2,5,1,15,59
Wednesday,5,July,2020,01:00,0,5,8,1,14,23
Wednesday,5,July,2020,02:00,3,7,5,7,22,43
Wednesday,5,July,2020,03:00,4,6,5,5,20,36
Wednesday,5,July,2020,04:00,3,0,1,8,12,47
Wednesday,5,July,2020,05:00,3,7,1,2,13,21
Wednesday,5,July,2020,06:00,1,8,8,7,24,71
Wednesday,5,July,2020,07:00,6,1,1,7,15,59
Wednesday,5,July,2020,08:00,32,34,22,20,108,323
Wednesday,5,July,2020,09:00,30,12,10,22,74,217
Wednesday,5,July,2020,10:00,27,16,27,18,88,350
Wednesday,5,July,2020,11:00,21,24,18,21,84,331
Wednesday,5,July,2020,12:00,27,21,28,17,93,182
Wednesday,5,July,2020,13:00,26,25,27,22,100,397
Wednesday,5,July,2020,14:00,15,29,14,16,74,219
Wednesday,5,July,2020,15:00,26,14,19,21,80,156
Wednesday,5,July,2020,16:00,35,27,31,25,118,233
Wednesday,5,July,2020,17:00,29,15,16,17,77,229
Wednesday,5,July,2020,18:00,32,22,40,18,112,332
Wednesday,5,July,2020,19:00,19,35,40,21,115,341
Wednesday,5,July,2020,20:00,26,12,23,18,79,234
Wednesday,5,July,2020,21:00,21,33,20,21,95,284
Wednesday,5,July,2020,22:00,35,34,27,23,119,471
Wednesday,5,July,2020,23:00,16,23,40,22,101,401
Thursday,6,July,2020,00:00,5,2,2,1,10,36
Thursday,6,July,2020,01:00,3,5,1,8,17,66
Thursday,6,July,2020,02:00,6,8,1,1,16,47
Thursday,6,July,2020,03:00,7,7,8,6,28,52
Thursday,6,July,2020,04:00,3,1,0,4,8,28
Thursday,6,July,2020,05:00,5,0,0,6,11,20
Thursday,6,July,2020,06:00,5,7,0,8,20,78
Thursday,6,July,2020,07:00,1,3,8,4,16,44
Thursday,6,July,2020,08:00,15,20,35,21,91,359
Thursday,6,July,2020,09:00,27,32,24,25,108,214
Thursday,6,July,2020,10:00,21,15,35,20,91,177
Thursday,6,July,2020,11:00,33,14,38,23,108,323
Thursday,6,July,2020,12:00,24,17,39,23,103,409
Thursday,6,July,2020,13:00,32,20,11,20,83,161
Thursday,6,July,2020,14:00,17,32,22,20,91,360
Thursday,6,July,2020,15:00,25,35,30,17,107,318
Thursday,6,July,2020,16:00,18,15,21,19,73,216
Thursday,6,July,2020,17:00,24,11,20,16,71,208
Thursday,6,July,2020,18:00,19,23,25,23,90,178
Thursday,6,July,2020,19:00,35,23,29,16,103,408
Thursday,6,July,2020,20:00,18,16,23,20,77,307
Thursday,6,July,2020,21:00,27,24,27,25,103,205
Thursday,6,July,2020,22:00,28,28,16,21,93,183
Thursday,6,July,2020,23:00,25,35,16,25,101,399
Friday,7,July,2020,00:00,7,8,8,8,31,57
Friday,7,July,2020,01:00,1,7,7,5,20,37
Friday,7,July,2020,02:00,4,6,3,6,19,33
Friday,7,July,2020,03:00,7,2,8,3,20,75
Friday,7,July,2020,04:00,8,0,1,6,15,25
Friday,7,July,2020,05:00,1,8,6,5,20,55
Friday,7,July,2020,06:00,5,3,3,2,13,36
Friday,7,July,2020,07:00,6,4,6,7,23,41
Friday,7,July,2020,08:00,21,34,39,23,117,347
Friday,7,July,2020,09:00,28,24,26,18,96,283
Friday,7,July,2020,10:00,31,23,24,24,102,305
Friday,7,July,2020,11:00,33,17,11,17,78,153
Friday,7,July,2020,12:00,15,20,18,21,74,294
Friday,7,July,2020,13:00,34,34,28,17,113,448
Friday,7,July,2020,14:00,29,11,34,21,95,283
Friday,7,July,2020,15:00,23,34,20,24,101,402
Friday,7,July,2020,16:00,32,20,37,18,107,424
Friday,7,July,2020,17:00,24,15,39,18,96,382
Friday,7,July,2020,18:00,15,34,14,23,86,253
Friday,7,July,2020,19:00,18,26,16,17,77,229
Friday,7,July,2020,20:00,24,10,23,25,82,163
Friday,7,July,2020,21:00,18,24,16,22,80,319
Friday,7,July,2020,22:00,23,16,13,16,68,131
Friday,7,July,2020,23:00,31,20,21,19,91,363
Saturday,8,July,2020,00:00,7,0,3,0,10,16
Saturday,8,July,2020,01:00,0,1,3,7,11,19
Saturday,8,July,2020,02:00,5,5,0,2,12,45
Saturday,8,July,2020,03:00,7,4,4,2,17,33
Saturday,8,July,2020,04:00,8,2,5,6,21,83
Saturday,8,July,2020,05:00,8,6,5,1,20,35
Saturday,8,July,2020,06:00,3,8,2,7,20,39
Saturday,8,July,2020,07:00,7,7,7,6,27,53
Saturday,8,July,2020,08:00,22,33,19,16,90,355
Saturday,8,July,2020,09:00,26,24,34,24,108,430
Saturday,8,July,2020,10:00,17,28,35,25,105,205
Saturday,8,July,2020,11:00,19,23,31,24,97,384
Saturday,8,July,2020,12:00,33,19,19,25,96,285
Saturday,8,July,2020,13:00,23,11,27,19,80,237
Saturday,8,July,2020,14:00,27,25,16,25,93,368
Saturday,8,July,2020,15:00,30,30,31,16,107,210
Saturday,8,July,2020,16:00,25,14,22,25,86,168
Saturday,8,July,2020,17:00,22,14,14,21,71,141
Saturday,8,July,2020,18:00,20,19,12,23,74,293
Saturday,8,July,2020,19:00,33,11,18,22,84,250
Saturday,8,July,2020,20:00,27,13,12,17,69,271
Saturday,8,July,2020,21:00,33,21,30,19,103,407
Saturday,8,July,2020,22:00,20,18,36,21,95,378
Saturday,8,July,2020,23:00,21,30,11,22,84,335
Sunday,9,July,2020,00:00,8,4,3,4,19,53
Sunday,9,July,2020,01:00,0,1,4,8,13,47
Sunday,9,July,2020,02:00,0,4,0,7,11,32
Sunday,9,July,2020,03:00,6,2,6,5,19,56
Sunday,9,July,2020,04:00,4,8,8,2,22,39
Sunday,9,July,2020,05:00,3,5,0,5,13,51
Sunday,9,July,2020,06:00,6,6,2,4,18,50
Sunday,9,July,2020,07:00,7,3,0,8,18,53
Sunday,9,July,2020,08:00,29,15,21,25,90,355
Sunday,9,July,2020,09:00,29,16,29,18,92,183
Sunday,9,July,2020,10:00,27,22,23,16,88,262
Sunday,9,July,2020,11:00,29,27,26,21,103,307
Sunday,9,July,2020,12:00,26,19,32,19,96,286
Sunday,9,July,2020,13:00,28,33,39,25,125,497
Sunday,9,July,2020,14:00,17,10,15,25,67,265
Sunday,9,July,2020,15:00,24,10,21,18,73,143
Sunday,9,July,2020,16:00,17,26,19,22,84,331
Sunday,9,July,2020,17:00,31,25,22,22,100,199
Sunday,9,July,2020,18:00,35,29,29,20,113,334
Sunday,9,July,2020,19:00,22,30,11,20,83,165
Sunday,9,July,2020,20:00,22,20,39,25,106,419
Sunday,9,July,2020,21:00,21,19,39,18,97,387
Sunday,9,July,2020,22:00,24,33,15,16,88,262
Sunday,9,July,2020,23:00,19,22,33,17,91,362
Monday,10,July,2020,00:00,7,5,7,2,21,80
Monday,10,July,2020,01:00,4,6,1,7,18,33
Monday,10,July,2020,02:00,4,7,8,3,22,86
Monday,10,July,2020,03:00,4,3,2,0,9,34
Monday,10,July,2020,04:00,6,6,4,5,21,39
Monday,10,July,2020,05:00,1,8,1,8,18,35
Monday,10,July,2020,06:00,2,0,1,4,7,20
Monday,10,July,2020,07:00,0,3,2,8,13,49
Monday,10,July,2020,08:00,29,15,24,20,88,351
Monday,10,July,2020,09:00,29,34,21,23,107,425
Monday,10,July,2020,10:00,26,15,24,23,88,171
Monday,10,July,2020,11:00,15,11,32,24,82,327
Monday,10,July,2020,12:00,27,22,27,19,95,281
Monday,10,July,2020,13:00,28,18,26,23,95,378
Monday,10,July,2020,14:00,22,32,26,23,103,307
Monday,10,July,2020,15:00,33,25,25,24,107,212
Monday,10,July,2020,16:00,23,14,23,24,84,248
Monday,10,July,2020,17:00,24,18,35,25,102,202
Monday,10,July,2020,18:00,24,28,20,17,89,355
Monday,10,July,2020,19:00,29,29,22,23,103,305
Monday,10,July,2020,20:00,21,33,16,23,93,276
Monday,10,July,2020,21:00,23,10,14,17,64,123
Monday,10,July,2020,22:00,27,23,12,21,83,329
Monday,10,July,2020,23:00,20,10,32,25,87,260
Tuesday,11,July,2020,00:00,6,7,1,4,18,35
Tuesday,11,July,2020,01:00,8,7,6,5,26,48
Tuesday,11,July,2020,02:00,6,2,1,5,14,25
Tuesday,11,July,2020,03:00,7,8,0,1,16,63
Tuesday,11,July,2020,04:00,5,1,7,5,18,70
Tuesday,11,July,2020,05:00,3,0,7,5,15,27
Tuesday,11,July,2020,06:00,7,6,3,0,16,44
Tuesday,11,July,2020,07:00,6,7,4,7,24,47
Tuesday,11,July,2020,08:00,31,14,35,25,105,310
Tuesday,11,July,2020,09:00,15,22,33,21,91,181
Tuesday,11,July,2020,10:00,35,25,33,19,112,220
Tuesday,11,July,2020,11:00,18,21,26,18,83,244
Tuesday,11,July,2020,12:00,34,34,35,22,125,247
Tuesday,11,July,2020,13:00,25,25,10,18,78,307
Tuesday,11,July,2020,14:00,32,27,35,18,112,333
Tuesday,11,July,2020,15:00,15,29,25,23,92,366
Tuesday,11,July,2020,16:00,33,24,15,18,90,265
Tuesday,11,July,2020,17:00,33,19,19,25,96,187
Tuesday,11,July,2020,18:00,22,16,20,25,83,329
Tuesday,11,July,2020,19:00,34,20,18,19,91,269
Tuesday,11,July,2020,20:00,22,34,22,20,98,191
Tuesday,11,July,2020,21:00,15,19,18,20,72,141
Tuesday,11,July,2020,22:00,25,32,16,22,95,379
Tuesday,11,July,2020,23:00,32,21,16,22,91,177
Wednesday,12,July,2020,00:00,7,4,5,4,20,59
Wednesday,12,July,2020,01:00,0,0,6,3,9,25
Wednesday,12,July,2020,02:00,1,6,4,7,18,49
Wednesday,12,July,2020,03:00,1,6,2,4,13,37
Wednesday,12,July,2020,04:00,3,0,1,4,8,11
Wednesday,12,July,2020,05:00,5,8,7,6,26,50
Wednesday,12,July,2020,06:00,8,1,3,7,19,74
Wednesday,12,July,2020,07:00,5,3,7,4,19,37
Wednesday,12,July,2020,08:00,34,21,35,25,115,341
Wednesday,12,July,2020,09:00,22,17,22,18,79,155
Wednesday,12,July,2020,10:00,16,15,23,17,71,141
Wednesday,12,July,2020,11:00,29,21,35,23,108,214
Wednesday,12,July,2020,12:00,28,16,31,25,100,196
Wednesday,12,July,2020,13:00,19,24,25,24,92,275
Wednesday,12,July,2020,14:00,21,30,24,17,92,363
Wednesday,12,July,2020,15:00,31,26,27,22,106,420
Wednesday,12,July,2020,16:00,34,10,29,19,92,363
Wednesday,12,July,2020,17:00,15,30,22,18,85,337
Wednesday,12,July,2020,18:00,27,11,35,23,96,188
Wednesday,12,July,2020,19:00,24,16,33,17,90,358
Wednesday,12,July,2020,20:00,17,35,28,18,98,389
Wednesday,12,July,2020,21:00,18,12,16,18,64,126
Wednesday,12,July,2020,22:00,28,11,32,21,92,366
Wednesday,12,July,2020,23:00,30,21,25,24,100,298
Thursday,13,July,2020,00:00,4,0,0,6,10,37
Thursday,13,July,2020,01:00,6,0,2,3,11,42
Thursday,13,July,2020,02:00,1,0,6,3,10,25
Thursday,13,July,2020,03:00,6,4,7,0,17,46
Thursday,13,July,2020,04:00,4,3,5,0,12,46
Thursday,13,July,2020,05:00,7,0,2,2,11,19
Thursday,13,July,2020,06:00,5,6,7,1,19,74
Thursday,13,July,2020,07:00,1,6,3,8,18,71
Thursday,13,July,2020,08:00,23,28,17,24,92,274
Thursday,13,July,2020,09:00,21,13,12,21,67,199
Thursday,13,July,2020,10:00,33,17,24,20,94,185
Thursday,13,July,2020,11:00,24,28,24,16,92,275
Thursday,13,July,2020,12:00,20,30,32,19,101,300
Thursday,13,July,2020,13:00,31,15,34,21,101,199
Thursday,13,July,2020,14:00,30,17,33,25,105,314
Thursday,13,July,2020,15:00,22,34,38,21,115,343
Thursday,13,July,2020,16:00,28,31,27,16,102,200
Thursday,13,July,2020,17:00,19,22,31,18,90,265
Thursday,13,July,2020,18:00,24,25,27,20,96,189
Thursday,13,July,2020,19:00,24,17,24,18,83,245
Thursday,13,July,2020,20:00,28,21,38,19,106,316
Thursday,13,July,2020,21:00,21,35,28,20,104,207
Thursday,13,July,2020,22:00,18,24,13,24,79,232
Thursday,13,July,2020,23:00,28,29,25,16,98,390
Friday,14,July,2020,00:00,6,3,4,3,16,46
Friday,14,July,2020,01:00,2,8,0,3,13,25
Friday,14,July,2020,02:00,2,3,0,7,12,35
Friday,14,July,2020,03:00,0,3,2,1,6,22
Friday,14,July,2020,04:00,5,0,0,8,13,22
Friday,14,July,2020,05:00,5,0,6,2,13,37
Friday,14,July,2020,06:00,7,6,4,4,21,38
Friday,14,July,2020,07:00,8,7,7,5,27,103
Friday,14,July,2020,08:00,18,15,17,19,69,135
Friday,14,July,2020,09:00,18,30,29,18,95,188
Friday,14,July,2020,10:00,34,20,34,16,104,311
Friday,14,July,2020,11:00,30,29,34,21,114,341
Friday,14,July,2020,12:00,26,26,24,16,92,271
Friday,14,July,2020,13:00,22,10,30,20,82,323
Friday,14,July,2020,14:00,17,23,16,24,80,155
Friday,14,July,2020,15:00,16,30,15,18,79,314
Friday,14,July,2020,16:00,22,17,35,21,95,281
Friday,14,July,2020,17:00,28,23,29,23,103,408
Friday,14,July,2020,18:00,23,28,35,16,102,404
Friday,14,July,2020,19:00,21,12,17,16,66,263
Friday,14,July,2020,20:00,31,20,36,25,112,444
Friday,14,July,2020,21:00,32,25,27,23,107,319
Friday,14,July,2020,22:00,35,18,32,23,108,211
Friday,14,July,2020,23:00,29,30,27,19,105,206
Saturday,15,July,2020,00:00,2,2,8,3,15,58
Saturday,15,July,2020,01:00,6,0,2,3,11,20
Saturday,15,July,2020,02:00,5,3,0,0,8,30
Saturday,15,July,2020,03:00,5,6,5,7,23,65
Saturday,15,July,2020,04:00,1,2,6,8,17,49
Saturday,15,July,2020,05:00,5,0,7,8,20,38
Saturday,15,July,2020,06:00,4,8,2,6,20,79
Saturday,15,July,2020,07:00,7,8,7,8,30,118
Saturday,15,July,2020,08:00,25,28,18,25,96,287
Saturday,15,July,2020,09:00,20,30,19,22,91,271
Saturday,15,July,2020,10:00,15,29,23,18,85,335
Saturday,15,July,2020,11:00,15,31,17,18,81,322
Saturday,15,July,2020,12:00,35,34,23,25,117,230
Saturday,15,July,2020,13:00,29,35,27,18,109,431
Saturday,15,July,2020,14:00,23,19,13,19,74,217
Saturday,15,July,2020,15:00,35,28,27,16,106,209
Saturday,15,July,2020,16:00,28,27,13,17,85,166
Saturday,15,July,2020,17:00,35,24,28,16,103,203
Saturday,15,July,2020,18:00,28,23,28,23,102,405
Saturday,15,July,2020,19:00,15,22,29,16,82,325
Saturday,15,July,2020,20:00,24,17,24,16,81,239
Saturday,15,July,2020,21:00,26,19,10,18,73,141
Saturday,15,July,2020,22:00,24,32,40,22,118,470
Saturday,15,July,2020,23:00,16,20,13,25,74,220
Sunday,16,July,2020,00:00,7,0,0,4,11,17
